hut_index,name,latitude,longitude,tourism,capacity,beds,capacity:persons,access,operator,website,reservation,opening_hours,include_in_evaluation
238,Cabane d'Arpitettaz,46.1008930,7.6793550,alpine_hut,32,,,,SAC CAS,https://www.arpitettaz.ch/,,,1
1137,Cabane d'Essertze,46.14802900,7.371986000000000,alpine_hut,,25,,,,https://essertze.ch/,yes,,1
423,Cabane d'Orny,46.0019130,7.0628120,alpine_hut,83,,,,SAC-CAS Section Diableret,https://cas-diablerets.ch/cabanes/cabane-orny/,,,1
1151,Cabane d'Orny dent de vaulion,46.6765880,6.352641000000000,alpine_hut,,,,,club alpin Suisse sous-section de Morges,https://www.clubalpin.ch/page.php?p=cabane,,,1
564,Cabane de Balavaux,46.1554650,7.2779520,alpine_hut,,,,,,https://www.cabanebalavaux.com/,,,1
1559,Cabane de Berley,46.8096860,7.005719000000000,wilderness_hut,,,,,,,,,1
13,Cabane de Bertol CAS,46.0060310,7.5277860,alpine_hut,80,,,,SAC - CAS Section Neuchateloise,http://www.bertol.ch,,,1
1148,Cabane de Bois Gentil,46.57838800,6.249092000000000,alpine_hut,,,,private,Club Alpin Suisse,http://www.cas-valdejoux.ch/index.php/cabanes-et-refuges/88-cabane-de-bois-gentil,,,1
1155,Cabane de Chanrion,45.93919400,7.380963000000000,alpine_hut,55,,,,,https://www.chanrion.ch/,,,1
525,Cabane de Corminboeuf,46.8001820,7.0880550,wilderness_hut,,,,,,,,,1
471,Cabane de Fromont,47.1994580,6.8820480,wilderness_hut,,4,,yes,,,,,1
1022,Cabane de Gelten SAC,46.3696030,7.339060000000000,alpine_hut,70,,,,SAC - CAS,https://www.gelten.ch/,,,1
865,Cabane de Jaman,46.4539940,6.975236000000000,alpine_hut,,,,,,,,,1
943,Cabane de Louvie,46.0468380,7.306416000000000,alpine_hut,,,,,Bourgeoisie de Bagnes,,,,1
1114,Cabane de Loz,46.34480200,6.79366700,wilderness_hut,,12,,,Club de spéléologie Saint Exupéry du Valais,,,,1
7,Cabane de Mille,46.0136690,7.2065710,alpine_hut,40,,,,,https://www.cabanedemille.ch,,,1
239,Cabane de Moiry,46.0906850,7.5954920,alpine_hut,96,,,,SAC - CAS,https://cabane-moiry.ch/,,,1
1430,Cabane de Montenol,47.3426020,7.144764000000000,chalet,,,45,permissive,Commune de Clos du Doubs,https://closdudoubs.ch/cabane-de-montenol-reservation/,,,1
933,Cabane de Prafleuri,46.0749540,7.37877900000000,alpine_hut,,,,,,http://www.prafleuri.ch/,,,1
567,Cabane de Prarochet,46.3144250,7.247452,alpine_hut,44,,,,,https://www.ski-club-saviese.ch,,,1
1546,Cabane de Raimeux,47.30069200,7.415445000000000,alpine_hut,,,,,CAS Delémont,http://www.cas-delemont.ch/index.php?pg=16,,,1
12,Cabane de Saleinaz CAS,45.9764390,7.0703670,alpine_hut,48,,,,CAS Section Neuchâteloise,https://www.cas-neuchatel.ch/cabanes/cabane-de-saleinaz-2691m/,,,1
1423,Cabane de Sorebois,46.143558,7.6035270,chalet,,,,,,https://www.valdanniviers.ch/fr/P114661/votre-sejour/hebergements/cabane-de-sorebois,,,1
430,Cabane de Sorniot,46.1693150,7.0949150,alpine_hut,46,,,,,http://www.sorniot.ch,,,1
243,Cabane de Susanfe,46.1394270,6.8980980,alpine_hut,71,,,,,https://susanfe.ch/,,,1
663,Cabane de Tracuit CAS,46.13031100,7.6794149999999997,alpine_hut,116,,,,SAC - CAS,https://www.cas-chaussy.ch/,,,1
9,Cabane de Valsorey,45.9303690,7.2717580,alpine_hut,52,,,,,https://www.valsorey.ch/,,,1
1225,Cabane de l'A Neuve CAS,45.9487970,7.066881000000000,alpine_hut,28,,28,,CAS - Section Diablerets,https://cas-diablerets.ch/aneuve,,,1
878,Cabane de l'ASSO,46.7908570,6.639637000000000,chalet,,,,,,https://asso-yverdon.com,,,1
582,Cabane de l'Illhorn,46.2560820,7.5970550,alpine_hut,,,,,,https://cabaneillhorn.ch/,,,1
86,Cabane de l'Écureuil,46.5374590,6.2186360,alpine_hut,,,,,,,,,1
1112,Cabane de la Dent Blanche CAS,46.02024100,7.60090100,alpine_hut,35,,,,SAC - CAS,https://www.cabane-dent-blanche.ch/,,,1
160,"Cabane de la Gymn ""Mont d'Or - Bellevue""",46.7196770,6.357409,chalet,,,,,,,,,1
1683,Cabane de la Rotta,46.50078300,6.8578320000000001,wilderness_hut,50,,,,,https://www.modzon.ch/residence/rotta,,,1
1647,Cabane de la Rèche,46.1901230,7.504209000000000,wilderness_hut,,,,,Consortage de l'Alpage du Tsan,,,,1
753,Cabane de la Tourche,46.2144510,7.061726000000000,alpine_hut,60,,,,,https://www.tourche.ch,,,1
240,Cabane de la Tsa,46.0303480,7.5038160,alpine_hut,32,,,,,https://www.cabtza.com/,,,1
98,Cabane de la Tsissette,45.9537590,7.1554860,alpine_hut,,,,,,https://latsissette.ch/,,,1
773,Cabane de la Videmanette,46.4588630,7.203913000000000,alpine_hut,18,,,,,https://www.cabane-videmanette.net/,,,1
1080,Cabane de la gym C.A.S.,46.7196800,6.357400000000000,alpine_hut,,30,,,,https://fsgvallorbe.ch/,,,1
934,Cabane des Aiguilles Rouges,46.05636700,7.4575469999999999,alpine_hut,70,,,,,https://www.aiguillesrouges.ch/,,,1
573,Cabane des Audannes,46.3434550,7.3840840,alpine_hut,46,46,,,,https://www.audannes.ch/,,,1
